brand,category,menu_name,price,easy_name,keywords
이디야커피,커피,NEW아메리카노(HOT/ICE),3200,기본 커피,아메리카노|시원한 커피|따뜻한 커피|이디야 아메
이디야커피,커피,토피넛 라떼,4200,고소하고 달콤한 견과류 우유,토피넛 라떼|토피넛|고소한 커피|달달한 라떼
이디야커피,커피,바닐라 라떼,4200,달콤한 우유 커피,바닐라 라떼|바닐라|달콤한 라떼
이디야커피,음료/티,쌍화차,4200,어르신 전통 건강 차,쌍화차|한방차|쌍화탕|건강차
이디야커피,음료/티,생강차,4200,따뜻한 알싸한 생강차,생강차|생강|따뜻한 차
이디야커피,디저트,수제플레인와플,2700,바삭한 빵,와플|플레인 와플|달콤한 빵
노브랜드버거,버거/세트,NBB 시그니처 세트,6600,대표 치즈 소고기 버거 세트,NBB 시그니처|시그니처 세트|대표 버거|치즈 버거
노브랜드버거,버거/세트,NBB 어메이징 세트,7700,패티 2장 들어간 대형 버거 세트,어메이징 버거|고기 2장 버거|빅버거
노브랜드버거,버거/세트,그릴드 불고기 세트,4900,가성비 불고기 버거 세트,불고기 버거|그릴드 불고기|싼 버거
노브랜드버거,사이드,크런치 오징어 3품,2800,바삭한 오징어 튀김,오징어 튀김|오징어 링|오징어
KFC,버거/세트,징거버거 세트,7800,대표 바삭한 닭가슴살 버거 세트,징거버거|징거 세트|치킨 버거|대표 버거
KFC,버거/세트,타워버거 세트,8700,해시브라운 들어간 치킨 버거 세트,타워버거|타워 세트|해시브라운 버거
KFC,치킨,핫크리스피치킨 1조각,3300,매콤 바삭한 프라이드 치킨,핫크리스피|치킨 한 조각|매운 치킨|닭튀김
KFC,사이드,에그타르트,2200,부드러운 계란 빵,에그타르트|타르트|계란 빵
맘스터치,버거/세트,싸이버거 세트,6900,대표 두툼한 닭다리살 버거 세트,싸이버거|싸이 세트|치킨 버거|대표 버거
맘스터치,버거/세트,불고기버거 세트,6200,달콤한 소고기 버거 세트,불고기 버거|맘스 불고기|달콤 버거
맘스터치,사이드,케이준 양념감자(중),2100,짭짤한 맘스터치 감자튀김,케이준 감자|양념 감자|감자튀김|감튀
빽다방,커피,원조커피(HOT/ICE),2500,진하고 달달한 믹스 커피,원조커피|달달한 커피|믹스 커피|빽다방 커피
빽다방,커피,앗메리카노(HOT/ICE),2000,기본 큰 아메리카노,아메리카노|아이스 아메리카노|시원한 커피
빽다방,음료/티,완전수박주스,4000,시원한 생수박 음료,수박주스|수박 음료|시원한 주스
메가커피,커피,따뜻한 아메리카노,1500,기본 따뜻한 커피,아메리카노|따뜻한 커피|뜨거운 커피|기본 커피
메가커피,커피,아이스 아메리카노,2000,기본 차가운 커피,아이스 아메리카노|시원한 커피|차가운 커피|얼음 커피
메가커피,커피,할메가커피,1900,달달한 믹스 커피,믹스 커피|달달한 커피|할머니 커피|단 커피
메가커피,커피,따뜻한 연유라떼,3900,달콤한 우유 커피,연유라떼|달달한 커피|단 커피|연유 커피
메가커피,디저트,감자빵,3500,감자 모양 빵,감자빵|구운 빵|간식
맥도날드,버거/세트,빅맥 세트,7200,대표 버거와 감자 음료 세트,빅맥|빅맥 세트|대표 버거|소고기 버거
맥도날드,버거/세트,불고기 버거 세트,5500,달콤한 불고기 버거 세트,불고기 버거|불고기 세트|달콤한 버거
맥도날드,버거/세트,맥스파이시 상하이 버거 세트,6900,매콤한 치킨 버거 세트,상하이 버거|치킨 버거|매운 버거
맥도날드,사이드,후렌치 후라이(중),2300,감자튀김,감튀|감자튀김|포테이토
롯데리아,버거/세트,리아 불고기 세트,6900,대표 불고기 버거 세트,불고기 버거|롯데리아 불고기|불고기 세트
롯데리아,버거/세트,새우버거 세트,6900,바삭한 새우 버거 세트,새우버거|새우 세트|해산물 버거
스타벅스,커피,카페 아메리카노,4500,스타벅스 기본 커피,아메리카노|스벅 아메리카노|기본 커피
스타벅스,음료/티,자몽 허니 블랙 티,5700,달콤 쌉싸름한 자몽차,자허블|자몽티|자몽 차|허니 티
